Project, Author, com.emf4sw.owl.DataMinCardinality, com.emf4sw.owl.DataMaxCardinality, com.hp, com.emf4sw.owl.Ontology, com.hp.hpl.jena.ontology.CardinalityQRestriction, com.emf4sw.rdf.transform.Model2RDF, com.emf4sw.owl.DataSomeValuesFrom, com.hp.hpl.jena.ontology.ObjectProperty, com.emf4sw.owl.ObjectMinCardinality, AnnotationPropertyImpl, com.emf4sw.rdf.resource.RDFResource, com.emf4sw.rdf.RDFBag, com.emf4sw.owl.impl.OWLPackageImpl, org.openrdf.model.ValueFactory, java.util.List, com.hp.hpl.jena.ontology.UnionClass, com.emf4sw.rdf.DocumentGraph, com.hp.hpl.jena.rdf.model.RDFList, com.emf4sw.owl.ObjectMaxCardinality, com.emf4sw.rdf.Literal, com.emf4sw.owl.DataUnionOf, com.emf4sw.rdf.com.emf4sw.rdf.Triple, com.emf4sw.owl.DataIntersectionOf, com.emf4sw.owl.impl.EList, org.openrdf.repository.RepositoryConnection, com.emf4sw.owl.AnnotatedElement, com.emf4sw.owl.resource.OWLReader, IndividualImpl, org.openrdf, T, com.hp.hpl.jena.ontology.ComplementClass, com.hp.hpl.jena.ontology.MinCardinalityRestriction, java.lang.Object, org.eclipse.emf.ecore.EStructuralFeature, com.hp.hpl.jena.ontology.HasValueRestriction, DataExactCardinalityImpl, org.openrdf.model.Value, com.emf4sw.owl.DataProperty, org.openrdf.rio.turtle.TurtleWriter, com.emf4sw.rdf.Property, org.eclipse.emf.ecore.resource.ResourceSet, com.hp.hpl.jena.rdf.model.ResIterator, ObjectComplementOfImpl, com.emf4sw.owl.OWLDatatype, com.emf4sw.owl.ObjectComplementOf, org.eclipse.emf.ecore.EClass, org.eclipse.emf.ecore.InternalEObject, com.emf4sw.owl.DataRange, com.hp.hpl.jena.ontology.Ontology, org.eclipse.m2m.atl.engine.emfvm.lib.ExecEnv, com.hp.hpl.jena.datatypes.RDFDatatype, com.hp.hpl.jena.ontology.OntClass, com.emf4sw.owl.ClassProperty, com.emf4sw.rdf.Namespace, ObjectPropertyImpl, com.emf4sw.rdf.transform.RDF2Model, com.emf4sw.owl.ObjectOneOf, ObjectHasSelfImpl, org.eclipse.emf.ecore.resource.Resource, org.codehaus.jackson.node.ObjectNode, com.hp.hpl.jena.rdf.model.RDFReader, com.emf4sw.owl.DataHasValue, com.hp.hpl.jena.ontology.DataRange, org.eclipse.m2m.atl.core.emf.EMFModel, com.emf4sw.owl.OWLFactory, com.emf4sw.owl.resource.OWLFormats, ObjectIntersectionOfImpl, DataMinCardinalityImpl, org.openrdf.model.URI, com.emf4sw.owl.EList, com.hp.hpl.jena.ontology.com.emf4sw.owl.Ontology, org.eclipse.emf.ecore.EObject, com.emf4sw.owl.DatatypeRestriction, com.emf4sw.owl.ObjectHasSelf, org.codehaus.jackson.map.ObjectMapper, com.hp.hpl.jena.ontology.IntersectionClass, ObjectOneOfImpl, ?, ObjectMinCardinalityImpl, com.emf4sw.owl.ObjectSomeValuesFrom, java.io.OutputStream, com.hp.hpl.jena.rdf.model.RDFWriter, DataMaxCardinalityImpl, java.lang.Iterable, com.emf4sw.owl.resource.OWLWriter, com.emf4sw.rdf.Triple, java.lang.Class, com.emf4sw.owl.DataAllValuesFrom, org.eclipse.m2m.atl.engine.emfvm.ASM, com.emf4sw.owl.DatatypeDefinition, java.io.InputStream, org.openrdf.repository.Repository, DataUnionOfImpl, com.atl.common.models.Properties, com.emf4sw.owl.Annotation, com.emf4sw.owl.ObjectExactCardinality, com.emf4sw.rdf.TripleNode, com.hp.hpl.jena.rdf.model.RDFNode, com.hp.hpl.jena.ontology.Individual, DataComplementOfImpl, com.emf4sw.owl.DataComplementOf, com.hp.hpl.jena.ontology.DatatypeProperty, com.emf4sw.rdf.RDFPackage, com.emf4sw.owl.ObjectAllValuesFrom, org.openrdf.model.Resource, com.emf4sw.owl.AnnotationProperty, com.emf4sw.owl.DataOneOf, AnnotationImpl, com.emf4sw.owl.resource.impl.OWLJenaReader$OntModelReaderSwitch, com.hp.hpl.jena.rdf.model.Resource, java.lang.reflect.Array, com.emf4sw.rdf.URIElement, com.hp.hpl.jena.util.iterator.ExtendedIterator, com.hp.hpl.jena.ontology.MinCardinalityQRestriction, java.util.Map, org.codehaus.jackson.JsonNode, java.net.URL, boolean, com.emf4sw.owl.Individual, org.eclipse.emf.ecore.EPackage, com.hp.hpl.jena.rdf.model.Property, java.lang.String, com.hp.hpl.jena.ontology.AllDifferent, OWLClassImpl, com.emf4sw.rdf, com.emf4sw.owl.resource.impl.EList, FacetRestrictionImpl, org.eclipse.emf.common.notify.Adapter, com.hp.hpl.jena.ontology.MaxCardinalityQRestriction, com.atl.common.trans.OneInOneOutTransformation, int, com.hp.hpl.jena.rdf.model.Statement, com.emf4sw.owl.resource.impl.OWLJenaWriter$OWLSwitchImpl, com.emf4sw.rdf.resource.RDFFormats, com.emf4sw.owl.ObjectHasValue, com.emf4sw.owl.transform.ecore2owl.Properties, com.emf4sw.owl.DataPropertyRestriction, com.hp.hpl.jena.ontology.com.emf4sw.owl.ObjectProperty, com.emf4sw.owl.DataExactCardinality, org.eclipse.emf.ecore.EOperation, com.emf4sw.owl.FacetRestriction, com.hp.hpl.jena.ontology.Restriction, org.eclipse.emf.common.util.EList, com.emf4sw.owl.ObjectPropertyRestriction, org.eclipse.emf.common.notify.Notification, org.eclipse.emf.common.notify.Notifier, com.emf4sw.owl.OWLClass, com.emf4sw.rdf.SubjectNode, java.util.Iterator, ObjectMaxCardinalityImpl, com.emf4sw.rdf.RDFSeq, org.codehaus.jackson.node.ArrayNode, com.hp.hpl.jena.ontology.AnnotationProperty, org.eclipse.m2m.atl.engine.emfvm.lib.Operation, com.emf4sw.owl.ObjectUnionOf, DataPropertyImpl, com.emf4sw.owl.ClassExpression, org.eclipse.m2m.atl.engine.emfvm.lib.AbstractStackFrame, com.emf4sw.rdf.NamedGraph, com.hp.hpl.jena.rdf.model.Model, com.emf4sw.rdf.Resource, java.lang.StringBuffer, com.emf4sw.owl.OWLProperty, com.hp.hpl.jena.ontology.SomeValuesFromRestriction, ObjectSomeValuesFromImpl, org.eclipse.emf.common.notify.NotificationChain, com.emf4sw.owl.ObjectPropertyChain, org.openrdf.rio.helpers.StatementCollector, org.openrdf.model.Graph, org.eclipse.emf.common.util.URI, char, org.eclipse.m2m.atl.core.emf.EMFInjector, com.emf4sw.owl.util.OWLSwitch, com.emf4sw.rdf.jena.TripleInjector, ObjectExactCardinalityImpl, DatatypeDefinitionImpl, com.hp.hpl.jena.rdf.model.Literal, com.hp.hpl.jena.ontology.OntProperty, com.hp.hpl.jena.ontology.OntModel, com.emf4sw.owl.ObjectProperty, OWLDatatypeImpl, com.hp.hpl.jena.ontology.AllValuesFromRestriction, ObjectUnionOfImpl, com.emf4sw.owl.ObjectIntersectionOf, com.hp.hpl.jena.ontology.MaxCardinalityRestriction, com.emf4sw.rdf.BlankNode, org.eclipse.emf.ecore.EAttribute, com.emf4sw.rdf.RDFGraph, com.emf4sw.rdf.transform.RDF2ModelGen, com.emf4sw.rdf.json.RDFGraph2Json$RDF2JsonSwitch, com.hp.hpl.jena.ontology.EnumeratedClass, DataIntersectionOfImpl, com.emf4sw.owl.resource.OWLResource, DatatypeRestrictionImpl, org.openrdf.rio.RDFParser, DataHasValueImpl, com.emf4sw.rdf.Node, com.hp.hpl.jena.ontology.OntResource, com.emf4sw.rdf.jena.RDFGraphExtractor$NodeSwitchExtractor, com.hp.hpl.jena.ontology.CardinalityRestriction, DataAllValuesFromImpl, java.lang.Boolean, com.emf4sw.rdf.jena.TripleExtractor$NodeSwitchExtractor, ObjectAllValuesFromImpl, com.atl.common.trans.MultiInOneOutTransformation, DataSomeValuesFromImpl, com.emf4sw.owl.OWLPackage, com.emf4sw.rdf.Datatype, ObjectPropertyChainImpl, DataOneOfImpl, org.openrdf.model.Statement, org.eclipse.emf.ecore.EReference, ObjectHasValueImpl, OntologyImpl, 
emf4sw/, Guillaume, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
emf4sw/, g.hillairet, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
emf4sw/, ghillairet, 8, 8, 61, 35, 4, 2, 8, 4, 10, 2, 4, 3, 2, 13, 11, 6, 8, 22, 10, 39, 8, 2, 8, 60, 4, 6, 2, 2, 6, 82, 6, 4, 148, 2, 2, 2, 6, 68, 2, 5, 4, 2, 2, 20, 8, 164, 86, 98, 10, 2, 4, 26, 6, 4, 2, 2, 10, 2, 45, 12, 2, 8, 4, 30, 6, 31, 2, 2, 4, 4, 6, 23, 10, 8, 4, 6, 2, 12, 2, 10, 10, 4, 2, 7, 2, 23, 40, 10, 2, 6, 14, 4, 2, 4, 16, 10, 3, 27, 2, 2, 8, 4, 2, 12, 2, 26, 8, 2, 2, 18, 23, 10, 8, 4, 67, 2, 12, 156, 14, 16, 14, 294, 2, 2, 2, 2, 2, 2, 4, 4, 1500, 6, 4, 8, 8, 6, 6, 2, 8, 2, 10, 2, 0, 6, 24, 2, 11, 7, 2, 2, 3, 2, 2, 8, 8, 2, 100, 8, 4, 14, 19, 18, 6, 2, 2, 72, 8, 8, 13, 28, 2, 2, 2, 2, 2, 2, 4, 2, 30, 38, 2, 8, 2, 8, 4, 9, 26, 49, 3, 2, 6, 2, 10, 2, 4, 2, 13, 38, 1, 4, 2, 70, 2, 2, 2, 2, 6, 7, 2, 2, 11, 120, 2, 2, 
