Project, Author, java.util.Properties, int, java.io.StringWriter, NamespaceDiscovery, org.apache.commons.exec.ExecuteStreamHandler, java.util.regex.Pattern, java.util.Map, java.util.ArrayList, java.net.URL, boolean, com.theoryinpractise.clojure.NamespaceDiscoveryTest$NamespaceData, java.util.Map$Entry, java.lang.String, org.apache.commons.exec.CommandLine, java.io.InputStreamReader, com.theoryinpractise.clojure.NamespaceInFile, java.io.InputStream, java.util.Vector, java.util.List, org.codehaus.plexus.compiler.util.scan.SourceInclusionScanner, java.lang.ProcessBuilder, org.apache.maven.project.MavenProject, java.io.BufferedReader, java.lang.StringBuilder, com.theoryinpractise.clojure.NamespaceDiscovery, java.util.Set, org.apache.maven.plugin.logging.Log, org.apache.maven.artifact.Artifact, NamespaceInFile, java.io.OutputStream, java.lang.Boolean, org.codehaus.plexus.compiler.util.scan.mapping.SourceMapping, java.lang.Object, com.theoryinpractise.clojure.InputStreamPumper, java.lang.Process, java.io.PrintWriter, java.lang.Thread, java.util.Enumeration, java.lang.reflect.Array, java.util.Scanner, java.util.regex.Matcher, ClojureReplMojo, java.io.File, java.io.FileWriter, 
clojure-maven-plugin/, Dimitry, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 
clojure-maven-plugin/, h908714124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
clojure-maven-plugin/, Cosmin, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 
clojure-maven-plugin/, dvdreddy, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
clojure-maven-plugin/, Jim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
clojure-maven-plugin/, Laurent, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
clojure-maven-plugin/, Ben, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
clojure-maven-plugin/, Ryan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
clojure-maven-plugin/, Will, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
clojure-maven-plugin/, Nelson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
