Project, Author, com.mitrejcevski.widget.activity.AdapterView, com.mitrejcevski.widget.model.MyTask, android.view.MotionEvent, android.view.ContextMenu.ContextMenuInfo, android.app.AlarmManager, android.widget.CompoundButton, int, android.widget.RemoteViews, android.app.PendingIntent, android.view.Menu, android.widget.ListView, android.app.AlertDialog, java.util.ArrayList, android.widget.ToggleButton, boolean, android.app.Fragment, android.support.v4.widget.DrawerLayout, com.mitrejcevski.widget.database.MyOpenHelper, java.lang.String, android.view.View, java.text.SimpleDateFormat, android.widget.Button, android.app.Dialog, com.mitrejcevski.widget.fragment.AdapterView, android.widget.TextView, java.util.List, android.net.Uri, android.os.PowerManager, android.util.DisplayMetrics, long, android.support.v4.app.FragmentManager, com.mitrejcevski.widget.dialog.NewGroupDialog, android.view.MenuItem, android.media.AudioManager, android.database.sqlite.SQLiteDatabase, android.database.sqlite.SQLiteQueryBuilder, com.mitrejcevski.widget.adapter.TasksListAdapter, android.content.Intent, android.widget.LinearLayout, android.content.Context, AlertDialog.Builder, com.mitrejcevski.widget.fragment.MainFragment, com.mitrejcevski.widget.database.TasksContentProvider$MyOpenHelper, android.content.ContentValues, com.widget.activity.AdapterView, com.mitrejcevski.widget.adapter.GroupsListAdapter, android.text.SpannableString, android.app.FragmentManager, android.widget.DatePicker, android.content.UriMatcher, android.widget.CheckBox, android.view.ViewGroup, android.support.v4.app.ActionBarDrawerToggle, android.content.DialogInterface, android.content.res.Configuration, android.widget.Spinner, android.appwidget.AppWidgetManager, com.mitrejcevski.widget.adapter.SectionsPagerAdapter, android.widget.TimePicker, android.support.v4.view.ViewPager, com.mitrejcevski.widget.model.Group, com.widget.adapter.TasksListAdapter$Holder, com.mitrejcevski.widget.adapter.TasksListAdapter$Holder, com.widget.model.MyTask, com.mitrejcevski.widget.adapter.GroupsListAdapter$Holder, android.view.LayoutInflater, com.mitrejcevski.widget.activity.MainActivity, android.view.ContextMenu, android.content.ComponentName, android.database.Cursor, java.util.Calendar, android.os.Bundle, android.media.MediaPlayer, java.util.Date, android.view.WindowManager.LayoutParams, java.lang.reflect.Array, com.widget.adapter.TasksListAdapter, android.widget.AdapterView, PowerManager.WakeLock, android.widget.EditText, com.mitrejcevski.widget.fragment.TaskListFragment, android.support.v4.app.Fragment, com.mitrejcevski.widget.activity.ArrayAdapter, 
android_tasks_widget/, Jovce, 1, 18, 0, 0, 1, 1, 54, 2, 4, 3, 3, 3, 5, 1, 9, 1, 1, 1, 70, 19, 2, 11, 1, 0, 3, 5, 10, 1, 1, 3, 0, 1, 3, 0, 11, 2, 1, 23, 1, 13, 6, 1, 0, 5, 0, 1, 3, 1, 2, 1, 0, 3, 1, 6, 1, 2, 2, 0, 2, 0, 16, 0, 5, 0, 5, 3, 1, 0, 1, 3, 4, 16, 0, 1, 1, 12, 0, 0, 1, 3, 0, 0, 3, 
android_tasks_widget/, Jovche, 7, 45, 3, 4, 4, 4, 159, 6, 13, 9, 10, 9, 23, 1, 19, 1, 2, 2, 146, 52, 6, 25, 1, 1, 8, 10, 26, 2, 4, 13, 1, 1, 14, 1, 33, 3, 8, 67, 2, 33, 10, 0, 1, 9, 1, 2, 8, 1, 2, 2, 3, 7, 0, 18, 0, 2, 6, 1, 3, 1, 43, 3, 9, 9, 10, 7, 1, 4, 3, 6, 4, 43, 1, 2, 4, 25, 1, 14, 2, 7, 1, 4, 6, 
