Project, Author, java.lang.reflect.Array, int, Graph, a2posted.Dijkstra.Edge, java.util.ArrayList, java.util.Stack, java.lang.String, GraphReader, a2posted.Dijkstra$Edge, java.lang.Integer, long, java.util.HashMap, Heap, java.io.BufferedReader, a2posted.IndexedHeap, java.util.Set, a2posted.Graph, java.util.Random, expressionTreeNodeSolution, java.lang.Double, double, java.util.HashSet, Dijkstra, IndexedHeap, ProgramFrame, 
code-snippets/, michaelchum, 27, 94, 1, 1, 6, 2, 75, 1, 2, 2, 1, 8, 1, 1, 1, 1, 5, 2, 24, 14, 15, 4, 1, 1, 4, 
code-snippets/, Michael, 24, 92, 1, 1, 6, 2, 74, 1, 2, 2, 1, 8, 1, 3, 1, 1, 5, 2, 12, 16, 14, 5, 1, 1, 4, 
